category,products_in_category,cnt_distinct_products,cnt_purchased,sum_price,avg_price
'LED Bulbs',"[Smart Light Bulbs [2 Pack], WiFi 2.4GHz & Bluetooth 5.0, Compatible w/ Alexa & Google Without Hub, Dimmable, Music Sync, Schedules, Color Changing Light Bulb RGBW Smart Bulb LED Bulb, A19/E26 9W 810LM]",1,1,17.99,17.99
'Dresses',[BerryGo Women's Boho V Neck Ruffle Floral Wrap Maxi Dress],1,1,46.99,46.99
'Cardamom Seed',"[Elite Turkish Coffee with Cardamom, 3.5 oz (3 Pack), Elite Turkish Coffee with Cardamom, 3.5 oz (3 Pack), Elite Turkish Coffee with Cardamom, 3.5 oz (3 Pack)]",1,3,44.07,14.69
'Hex Keys',"[Klein Tools JTH6M3 3 mm Hex Key with Journeyman T-Handle, 6-Inch]",1,1,3.99,3.99
'Balloons',"[NUFR 3 Feet Inflatable Penis and Pump Pack Blow Up Penis for Hen Party, Bachelor Party, Bachelorette Party , Bridal Shower Party Decorations and Games]",1,1,13.99,13.99
'Party Games & Activities',"[Table Top Penis Ring Toss Bachelorette Party Game, Same Penis Forever Favors, Divorce Party, Hen Party, Girls Night Out, Dick]",1,1,12.99,12.99
'CD & DVD Drives',"[Gotega External DVD Drive, USB 3.0 Portable CD/DVD +/-RW Drive/DVD Player for Laptop CD ROM Burner Compatible with Laptop Desktop PC Windows Linux OS Apple Mac Black]",1,1,22.99,22.99
'Shade Sail Hardware',"[Sun Shade Hardware Kit for Rectangle and Square Sun Shade Sails Installation,5 inch Heavy Duty Anti-Rust Sail Shade Hardware Kit with 50 ft Cable Wire Ropes]",1,1,18.99,18.99
'Cuckoo Clocks',"[KEYPOWER Cuckoo Clock Cuckoo Wall Clock,Cuckoo Bird Voices Call, Design Clock Pendulum, Bird House, Wall Art Home Living Room Kitchen Office Decoration (Green)]",1,1,42.99,42.99
'Shade Sails',[SUNNY GUARD Sun Shade Sail 16'5''x16'5''x16'5'' Triangle Terra UV Block Sunshade for Backyard Yard Deck Patio Garden Outdoor Activities and Facility(We Make Custom Size)],1,1,39.99,39.99
'Dental Floss',"[Plackers Micro Mint Dental Flossers, Fresh Mint Flavor, Fold-Out Toothpick, Super Tuffloss, Easy Storage with Sure-Zip Seal, 150 Count]",1,1,4.22,4.22
'Wall Chargers',"[3Pack Dual Port USB-C Wall Plug-in USB Charger, AILKIN 20W Power Delivery + QC3.0 USB A Double Port Fast Charging Block for iPhone 14 13 12 Pro Max 14 Pro 12 Mini 14 11 Pro Max 14 Plus 11 SE X XS Cube]",1,1,15.99,15.99
'Furniture Pads',"[SoftTouch 1"" x 60"" Heavy-Duty Self-Stick Felt Furniture Strip Roll - Protect Surfaces from Scratches & Damage, Beige (3 Pack)]",1,1,15.27,15.27
'Slippers',[Bearbay Baby Sock Shoes Rubber Sole Non-Skid Indoor Floor Slipper for Unisex Newborn Infants Toddlers Boys Girls],1,1,9.99,9.99
'Tees',[Gerber Baby Girls' 3-Pack Short Sleeve Tees],1,1,18.99,18.99
'Planning Boards',"[Magnetic Dry Erase Refrigerator Calendar with Markers - 15"" x 11"" Monthly Fridge Calendar and Today List, Fridge Whiteboard with Back Magnet]",1,1,9.99,9.99
'Lightweight',"[Summer Infant, 3D Mini Convenience Stroller – Lightweight Stroller with Compact Fold MultiPosition Recline Canopy with Pop Out Sun Visor and More – Umbrella Stroller for Travel and More, Gray]",1,1,59.99,59.99
'Extension Cords',"[GE home electrical 3-Outlet Power Strip, 12 Ft Extension Cord, 2 Prong, 16 Gauge, Twist-to-Close Safety Outlet Covers, Indoor Rated, Perfect for Home, Office or Kitchen, UL Listed, White, 51954]",1,1,6.9,6.9
"'Cookies, Biscuits & Snacks'","[Greenies Pill Pockets, 30 Count, Chicken Flavor, 3 Pack]",1,1,22.82,22.82
'Toilet Paper Holders',"[JQK Toilet Paper Holder, 5 Inch 304 Stainless Steel Thick 0.8mm Tissue Paper Dispenser for Bathroom, Hold Mega Rolls, Brushed Nickel Wall Mount, TPH100-BN]",1,1,10.99,10.99
'Pregnancy Tests',[Premom Pregnancy Test Strips- 30 Pack Early Detection Pregnancy Test Kit Powered by Premom Ovulation Predictor iOS and Android APP],1,1,11.0,11.0
'Deodorant',"[Speed Stick Men's Deodorant, Regular, 3 Ounce, 4 Pack]",1,1,11.16,11.16
'Cups',"[Turbo Bee 50 Pack 9oz Clear Plastic Cups,Disposable Crystal Drinking Cups,PET Plastic Party Cups for Wine,Juice,Iced Coffee and Cold Drinks]",1,1,11.59,11.59
'Plates',"[FOCUSLINE 150pcs Compostable Heavy-Duty Paper Plates Set Eco-Friendly Natural Disposable Bagasse Plates Cutlery Includes Biodegradable Plates, Forks, Knives, Spoons for Parties, Camping, Picnic, Decodinli Passover Party Supplies Serves 25, Passover Party Decorations, Passover Seder Plates and Napkins, Passover Themed Disposable Seder Plates and Cups, Passover Tableware Set]",2,2,31.979999999999997,15.989999999999998
'Seder Plates',"[Decodinli Passover Party Supplies Serves 25, Passover Party Decorations, Passover Seder Plates and Napkins, Passover Themed Disposable Seder Plates and Cups, Passover Tableware Set]",1,1,9.99,9.99
'Bottle Brushes',"[Munchkin® Sponge™ Bottle Brush, 2 Pack, Grey]",1,1,7.98,7.98
'Electric Toothbrushes',"[Amazon Basics Kids Battery Powered Toothbrush, 2 Count, 1 Pack (Previously Solimo)]",1,1,9.58,9.58
'Toothpaste',"[Hello Antiplaque Whitening Toothpaste, Fluoride Free Toothpaste for Teeth Whitening with Natural Peppermint Flavor and Tea Tree Oil, Peroxide Free, Gluten Free, SLS Free, 3 Pack, 4.7 OZ Tubes]",1,1,13.79,13.79
'Soaps',"[Dermaharmony 2% Pyrithione Zinc (ZnP) Bar Soap 4 oz - Crafted for Those with Skin Conditions - Seborrheic Dermatitis, Dandruff, Psoriasis, Eczema, etc.]",1,1,8.59,8.59
'Mouse Pads',"[Leather Desk Pad Protector,Mouse Pad,Office Desk Mat, Non-Slip PU Leather Desk Blotter,Laptop Desk Pad,Waterproof Desk Writing Pad for Office and Home (31.5"" x 15.7"", Light Grey)]",1,1,13.99,13.99
'Docking Stations',"[Plugable Universal Laptop Docking Station, 4K Dual Monitor, DisplayPort or HDMI, Windows Mac or ChromeOS Laptops, USB-C or USB 3.0, Adds 2 Displays, Ethernet, Audio, 6 USB Ports]",1,1,159.95,159.95
'Garden Edging',[Gardeneer by Dalen HammerEdge Pound in Edging - 16 Durable Interlocking Pieces -18 feet of Coverage - Made in USA - Easy to Install],1,1,34.85,34.85
'BB Creams',"[MISSHA M PERFECT COVER BB CREAM #21 SPF 42 PA+++, Multi-Function, High Coverage Makeup to help infuse moisture for firmer-looking skin with reduction in appearance of fine lines 50ml-Lightweight, Maybelline New York Dream Fresh Skin Hydrating BB cream, 8-in-1 Skin Perfecting Beauty Balm with Broad Spectrum SPF 30, Sheer Tint Coverage, Oil-Free, Light/Medium, 1 Fl Oz]",2,2,19.11,9.555
'Waist Packs',[Bachelorette Fanny Pack Set (12 pack) Includes Bride Fanny Pack I Fanny Packs for Bachelorette Party Favors I Bride Tribe Funny Fanny Packs],1,1,54.99,54.99
'Floating Shelves',"[Love-KANKEI Floating Shelves for Coffee Bar,Bathroom Shelves with Towel Bar, Wall Shelves with 8 Hooks for Kitchen, 17.3 Inch Storage Shelves Set of 2 for Bedroom,Living Room，Black, JORIKCHUO Nursery Book Shelves, Set of 2 Wood Floating Book Shelves for Kids Room, Kitchen Spice Rack, or Rustic Wall Mounted Shelves for Farmhouse Bathroom Decor (Natural Wood)]",2,2,44.98,22.49
'Surveillance Housing & Mounting Brackets',"[Zwolf Strong Adhesive Mount for YI Pan-Tilt Security Camera , No Hole Needed , Perfect View Angle for Yi Home 360 Degree Indoor Pet Cam (Pack of 2)]",1,1,19.99,19.99
'Nipples',"[NUK Smooth Flow Anti Colic Baby Bottle Nipples, Size 2 (6+ Months), Medium Flow, 2 Pack]",1,1,8.93,8.93
'Bath Rugs',"[DEXDE Bathroom Rugs Non-Slip Bath Mat, Luxury Soft Absorbent Plush Microfiber Bath mats for Bathroom, Washable Boho Bathroom Rugs, Carpet for Tub, Shower,20""x32"", Beige]",1,1,25.99,25.99
'Gliders',[NIOIIKIT Nursery Rocking Chair Teddy Upholstered Glider Rocker Rocking Accent Chair Padded Seat with High Backrest Armchair Comfy Side Chair for Living Room Bedroom Offices (Yellow Teddy)],1,1,159.99,159.99
'Storage Drawer Units',"[mDesign 35.3"" High Steel Frame/Wood Top Storage Dresser Furniture Unit, 8 Removable Slim Fabric Drawers - Tall Bureau Organizer for Bedroom, Living Room, Closet - Lido Collection, Black/Dark Gray]",1,1,66.99,66.99
'Clips',[40pcs Baby Hair Clips Tiny Bow Hair Clips for Newborn No Slip Toddler Mini Hair Bow Barrettes Hair Accessories for Baby Fine Hair Girls Infant Toddlers],1,1,11.99,11.99
"'Arts, Music & Photography'","[Sing a Song of Sunshine (Interactive Early Bird Children's Song Book with 10 Sing-Along Tunes), Bedtime Songs: 11-Button Interactive Children's Sound Book (Early Bird Song)]",2,2,34.589999999999996,17.294999999999998
"'Activities, Crafts & Games'","[World of Eric Carle, Around the Farm 30-Button Animal Sound Book - Great for First Words - PI Kids]",1,1,11.0,11.0
'Jackets',[WEONEDREAM Toddler Baby Boys Girls Winter Fleece Jacket Small Kids Warm Hooded Outwear Coat],1,1,26.99,26.99
'Bikinis',[YOUNGER TREE Toddler Baby Girls Summer Swimsuit Sleeveless Striped Swimwear Two-Piece Suit Beach Bikini],1,1,20.98,20.98
'One-Piece Suits',[BALEAF Women's Conservative Athletic Racerback One Piece Training Bathing Suit],1,1,32.99,32.99
'Sun Shelters',"[CleverMade Chair Umbrella, Outdoor Sport Canopy, Adjustable UPF 50+ Beach Umbrella with Clamps]",1,1,72.6,72.6
'Sun Protection',"[SILLY MONKEY Improved Design Umbrella Holder and Bonus Stroller Hook - Adjustable Parasol Clamp Mount for Stroller, Wheelchair, Rollator, Bike, Pram Sunshade - Complete with Non-Slip Multipurpose Clip]",1,1,15.99,15.99
'Outdoor Hanging Brackets',"[Perfin Wooden Wall Hooks, Plant Hangers Indoor, 8-Inch Wall Mounted Hanging Plant Hooks for Planters, Lanterns, Flower Bracket, Wind Chimes, Decoration Hooks (2 Pack)]",1,1,16.95,16.95
'Mug Hooks',[Fox Run Expanding Beechwood Coffee Mug Wall Rack],1,1,17.1,17.1
'Kitchen Storage & Organization Accessories',"[Signice Banana Holder Stand - Newest Patented Modern Banana Tree Hanger with Wood Base Stainless Steel Banana Rack for Home Kitchen Use,Doesn't Tip Over (Black)]",1,1,15.99,15.99
'Squirrels',"[Pennington Pride Waste Free Blend Wild Bird Seed, 10 lb]",1,1,24.99,24.99
'Feeders',[PAWBEE Window Bird Feeder - Window Bird Feeders with Strong Suction Cups - Suction Cup Bird Feeder Window with Drain Holes for Rain - Clear Bird Feeders for Window - Bird House for Window Outside],1,1,19.99,19.99
'Electrical Safety',"[Outlet Covers Baby Proofing White - PRObebi 38 Pack Plug Covers for Electrical Outlets, Child Proof Socket Covers, Baby Safety Products for Home, Office, Easy Insatllation, Protect Babies]",1,1,8.99,8.99
